artwork_id,artist_id,title,year_created,medium,dimensions,description,collection_id
ART001,ARS016,Silent Violet Sea,2010,Oil on canvas,179 x 148 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL096
ART002,ARS017,Luminous Onyx Shadow,2005,Mixed media,113 x 229 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL057
ART003,ARS117,Vibrant Red Path,2009,Photograph,169 x 175 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL069
ART004,ARS019,Distant Amber City No. 38,2011,Marble sculpture,263 x 261 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL126
ART005,ARS020,Luminous Ivory Harbor No. 69,2003,Marble sculpture,125 x 82 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL069
ART006,ARS147,Eternal Violet Harbor No. 20,1963,Bronze sculpture,282 x 141 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL108
ART007,ARS022,Whispering Violet Symphony,1988,Watercolor on paper,199 x 71 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL015
ART008,ARS069,Radiant Red Shadow,1968,Oil on canvas,158 x 225 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL032
ART009,ARS064,Radiant Violet River,1985,Acrylic on canvas,131 x 265 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL054
ART010,ARS122,Radiant Sapphire Silhouette No. 6,2014,Marble sculpture,296 x 92 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL124
ART011,ARS077,Luminous Ivory Forest,1988,Mixed media,87 x 150 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL084
ART012,ARS004,Hidden Sapphire Figure No. 32,1859,Installation,51 x 273 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL040
ART013,ARS096,Golden Amber Garden,1953,Bronze sculpture,60 x 60 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL040
ART014,ARS138,Misty Emerald Sea No. 72,1944,Ink on paper,207 x 254 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL006
ART015,ARS097,Frozen Emerald Sky,1942,Photograph,254 x 180 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL126
ART016,ARS049,Shimmering Emerald Shadow,2021,Installation,269 x 170 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL042
ART017,ARS018,Infinite Emerald Mountain,2004,Oil on canvas,217 x 262 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL130
ART018,ARS098,Hidden Blue Landscape,2000,Photograph,194 x 62 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL100
ART019,ARS049,Infinite Violet Shadow No. 37,2008,Acrylic on canvas,239 x 194 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL025
ART020,ARS134,Golden Blue Echo No. 5,1922,Ink on paper,84 x 278 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL026
ART021,ARS009,Shimmering Onyx Sea,1983,Bronze sculpture,161 x 55 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL057
ART022,ARS019,Silent Amber Sea,2010,Bronze sculpture,269 x 61 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL107
ART023,ARS095,Crimson Indigo Sky,1888,Ink on paper,185 x 69 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL025
ART024,ARS026,Forgotten Scarlet Reflection No. 68,1915,Acrylic on canvas,121 x 242 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL092
ART025,ARS118,Distant Red Garden,1940,Bronze sculpture,235 x 288 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL041
ART026,ARS137,Broken Ivory Silhouette,1952,Mixed media,220 x 241 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL083
ART027,ARS062,Shimmering Scarlet Horizon,2021,Digital print,160 x 214 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL115
ART028,ARS102,Silent Blue Memory,2017,Oil on canvas,99 x 184 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL077
ART029,ARS057,Luminous Ivory Harbor,2002,Photograph,171 x 291 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL040
ART030,ARS025,Crimson Violet Symphony No. 34,1928,Marble sculpture,157 x 149 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL077
ART031,ARS024,Shimmering Onyx Figure,1948,Watercolor on paper,196 x 277 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL125
ART032,ARS148,Misty Indigo Memory No. 74,1947,Bronze sculpture,70 x 58 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL090
ART033,ARS112,Distant Red River,2011,Oil on canvas,35 x 225 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL079
ART034,ARS135,Crimson Ivory Shadow,2009,Watercolor on paper,287 x 143 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL013
ART035,ARS101,Broken Indigo Figure,2005,Mixed media,251 x 178 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL038
ART036,ARS034,Celestial Red Sea,1951,Acrylic on canvas,234 x 164 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL103
ART037,ARS129,Distant Emerald Echo,1949,Installation,279 x 232 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL051
ART038,ARS144,Infinite Amber River No. 56,1983,Mixed media,75 x 87 cm,"An artwork exploring themes of light, space, and memory within a contemporary visual language.",COL109
