exhibition_id,museum_id,curator_staff_id,exhibition_name,exhibition_type,start_date,end_date,visitor_count
EXH001,MUS099,STF483,Lights of Time,Traveling,2015-03-18,2015-08-07,33732
EXH002,MUS079,STF466,Lights of Space,Traveling,2013-06-12,2013-07-30,72330
EXH003,MUS033,STF116,Visions of the Future,Thematic,2020-06-18,2020-11-04,45159
EXH004,MUS063,STF299,Textures of Space,Permanent,2015-01-15,2015-06-27,24218
EXH005,MUS077,STF372,Textures of Modernity,Retrospective,2015-05-31,2015-11-03,111539
EXH006,MUS014,STF287,Visions of Light,Thematic,2016-03-09,2016-06-11,87200
EXH007,MUS033,STF366,Reflections of Light,Permanent,2011-11-12,2011-12-15,128283
EXH008,MUS064,STF227,Worlds of Modernity,Traveling,2023-04-05,2023-08-24,28253
EXH009,MUS063,STF385,Lines of Space,Retrospective,2023-08-10,2024-01-19,12036
EXH010,MUS076,STF101,Patterns of Time,Permanent,2022-11-29,2023-01-22,63551
EXH011,MUS087,STF432,Dreams of Modernity,Traveling,2018-10-31,2018-12-10,116407
EXH012,MUS074,STF536,Forms of Silence,Retrospective,2010-11-02,2011-03-14,7721
EXH013,MUS024,STF025,Worlds of Modernity,Traveling,2017-05-18,2017-07-12,109041
EXH014,MUS094,STF468,Lines of Color,Traveling,2015-09-08,2016-01-07,93373
EXH015,MUS058,STF049,Worlds of Movement,Traveling,2017-04-12,2017-09-06,43098
EXH016,MUS099,STF330,Worlds of Origins,Temporary,2019-01-01,2019-04-30,132029
EXH017,MUS043,STF361,Forms of Time,Temporary,2023-10-29,2024-04-13,83977
EXH018,MUS013,STF093,Forms of Movement,Thematic,2019-02-09,2019-05-30,131336
EXH019,MUS097,STF392,Rhythms of the City,Retrospective,2014-07-15,2014-10-20,92906
EXH020,MUS047,STF164,Dreams of Silence,Permanent,2013-10-12,2014-02-01,30223
EXH021,MUS040,STF519,Worlds of Modernity,Thematic,2022-07-28,2022-11-10,142100
EXH022,MUS080,STF078,Stories of the Future,Permanent,2014-06-16,2014-08-08,107073
EXH023,MUS019,STF349,Forms of Movement,Retrospective,2021-12-13,2022-04-12,35873
EXH024,MUS095,STF301,Reflections of Time,Permanent,2023-10-05,2024-03-28,85891
EXH025,MUS006,STF252,Worlds of Silence,Traveling,2022-04-17,2022-06-25,7909
EXH026,MUS089,STF225,Shadows of Nature,Retrospective,2015-07-03,2015-09-28,57614
EXH027,MUS038,STF250,Stories of Color,Retrospective,2010-06-20,2010-11-20,109665
EXH028,MUS073,STF197,Lights of Origins,Thematic,2019-04-01,2019-06-17,105757
EXH029,MUS050,STF268,Rhythms of Modernity,Retrospective,2018-03-01,2018-06-06,98053
EXH030,MUS041,STF554,Dreams of Nature,Temporary,2018-01-04,2018-02-22,85321
EXH031,MUS032,STF552,Forms of Space,Permanent,2022-12-26,2023-02-26,134025
EXH032,MUS069,STF322,Textures of Silence,Traveling,2012-05-08,2012-08-04,146246
EXH033,MUS060,STF276,Forms of Nature,Retrospective,2022-11-18,2022-12-31,115785
EXH034,MUS056,STF067,Shadows of Modernity,Thematic,2013-11-04,2013-12-09,118563
EXH035,MUS008,STF356,Lights of Light,Permanent,2020-09-09,2020-11-15,93907
EXH036,MUS036,STF259,Echoes of Space,Retrospective,2010-08-14,2011-01-16,35958
EXH037,MUS085,STF463,Reflections of Nature,Traveling,2016-12-13,2017-05-29,87647
EXH038,MUS066,STF417,Worlds of Modernity,Thematic,2013-03-27,2013-09-11,83433
EXH039,MUS079,STF055,Forms of Color,Permanent,2018-01-14,2018-07-13,19615
EXH040,MUS068,STF424,Patterns of Time,Temporary,2013-08-13,2013-10-31,48013
EXH041,MUS004,STF507,Forms of the City,Permanent,2012-09-05,2012-12-28,25683
EXH042,MUS090,STF397,Reflections of Modernity,Retrospective,2019-02-21,2019-06-28,37309
EXH043,MUS024,STF099,Forms of Memory,Temporary,2016-12-24,2017-04-23,113816
EXH044,MUS012,STF189,Journeys of Silence,Temporary,2015-11-05,2016-03-16,60412
EXH045,MUS082,STF084,Dreams of Light,Permanent,2017-08-14,2018-01-06,138328
EXH046,MUS078,STF063,Journeys of Color,Traveling,2022-06-30,2022-08-14,26032
EXH047,MUS068,STF013,Stories of Color,Retrospective,2010-02-08,2010-06-01,81285
EXH048,MUS073,STF384,Visions of Modernity,Temporary,2011-07-23,2011-10-05,131600
EXH049,MUS028,STF354,Stories of Origins,Thematic,2012-03-05,2012-05-13,99085
EXH050,MUS057,STF182,Patterns of the City,Retrospective,2021-05-19,2021-07-26,8953
EXH051,MUS069,STF124,Patterns of Color,Permanent,2016-12-28,2017-04-11,92502
EXH052,MUS076,STF531,Rhythms of the City,Retrospective,2013-10-03,2013-11-27,51635
EXH053,MUS079,STF346,Patterns of the City,Retrospective,2020-03-13,2020-08-30,118423
EXH054,MUS071,STF068,Echoes of Light,Traveling,2017-08-03,2017-11-04,38062
EXH055,MUS025,STF414,Worlds of Silence,Permanent,2010-12-07,2011-04-07,126940
EXH056,MUS091,STF102,Lines of Light,Traveling,2021-08-29,2021-10-21,139238
EXH057,MUS090,STF545,Patterns of Modernity,Thematic,2021-09-13,2022-01-21,53673
EXH058,MUS018,STF459,Journeys of Memory,Retrospective,2014-06-11,2014-09-23,106968
