treatment_id,artwork_id,treatment_type,start_date,end_date,cost_usd,treatment_notes,staff_id
TRT001,ART998,Pest Treatment,2012-06-16,2012-09-07,18080.42,Pest Treatment carried out due to canvas deformation; treatment resulted in minimized future deterioration risk. Documentation and photographs were added to the conservation record.,STF410
TRT002,ART027,Inpainting,2011-10-16,2012-01-17,7093.44,Inpainting carried out due to flaking paint layers; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF405
TRT003,ART855,Inpainting,2010-08-17,2010-10-14,18667.0,Inpainting carried out due to panel cracking; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF203
TRT004,ART584,Inpainting,2018-06-23,2018-07-07,24413.0,Inpainting carried out due to panel cracking; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF487
TRT005,ART227,Re-framing,2019-10-03,2019-12-06,15775.38,Re-framing carried out due to yellowed varnish; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF138
TRT006,ART673,Inpainting,2019-06-08,2019-08-11,21997.57,Inpainting carried out due to surface dust and grime; treatment resulted in reduced visual distraction. Documentation and photographs were added to the conservation record.,STF430
TRT007,ART328,Deacidification,2020-01-01,2020-03-30,15531.89,Deacidification carried out due to yellowed varnish; treatment resulted in removed active infestation. Documentation and photographs were added to the conservation record.,STF002
TRT008,ART770,Inpainting,2016-12-23,2017-04-02,9668.83,Inpainting carried out due to yellowed varnish; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF186
TRT009,ART669,Surface Cleaning,2015-03-01,2015-04-01,11935.15,Surface Cleaning carried out due to yellowed varnish; treatment resulted in enhanced color balance. Documentation and photographs were added to the conservation record.,STF229
TRT010,ART455,Varnish Removal,2011-03-26,2011-06-22,13192.36,Varnish Removal carried out due to previous restoration discoloration; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF187
TRT011,ART281,Re-framing,2023-11-24,2023-12-14,3941.22,Re-framing carried out due to acidic backing board; treatment resulted in reduced surface gloss variations. Documentation and photographs were added to the conservation record.,STF278
TRT012,ART103,Structural Stabilization,2021-05-21,2021-06-30,16070.01,Structural Stabilization carried out due to biological contamination; treatment resulted in stabilized paint layers. Documentation and photographs were added to the conservation record.,STF237
